Group_ID,Group_name,Short_name
1,"Women's Sport Clothing; Wedding Shop; Telescopes, Binoculars & Sports Cameras; Fan Gear & Memorabilia; Sports; Winter Sports; Shop By Age; Sports & Fitness; Men's Sport Clothing; Wellness Shops; Birthday Shop; Sports Fan Shop; Fan Zone; Sports & Outdoors; Water Sports & Pools; Team Sports; Motor Sports; Sports & Outdoor Recreation; Ceiling Fans","Fan, Sports, Shop, Team, Winter"
2,"Men; Men's Big & Tall; Men's Grooming; Sports; Men's Sport Clothing; Children's Clothing; Baby Clothing; Clothing, Shoes & Access.; Telescopes, Binoculars & Sports Cameras; Winter Sports; Men's Activewear; Clothing & Shoes; Sports & Outdoors; Men's Clothing; Women's Clothing; Sports & Fitness; Motor Sports; Women's Sport Clothing; Sports Fan Shop; Water Sports & Pools; Team Sports; Sports & Outdoor Recreation","Clothing, Men, Sports, Children"
3,Men's Clothing; Men's Big & Tall; Men's Grooming; Men; Men's Sport Clothing; Men's Activewear,"Big, Tall, Men"
4,Pet Occasions & Holidays; Pet Stairs & Ramps; Pet Health Supplies; Pet Carriers & Travel; Pet Apparel; Pet Supplies; Pets; Pet Clean Up; Pet Toys; Pet Memorials; Eco-Friendly Pet Supplies; Pet Houses; Pet Jewelry; Pet Grooming; Pet Beds; Pet Training; Pet Lover's Gifts; Pet Gates & Doors,"Holidays, Occasions, Pet, Houses"
5,iTunes Gift Cards; Pet Occasions & Holidays; Pet Carriers & Travel; Craft Lover's Gifts; Pet Jewelry; Gift Baskets; Gourmet Food & Gift Baskets; Pets; Pet Gates & Doors; Pet Training; Pet Apparel; Gifts and Gift Cards; Gifts by Recipient; Photo Gifts; Pet Toys; Eco-Friendly Pet Supplies; Pet Houses; Personalized Gifts; Flowers; Pet Stairs & Ramps; Baby Gifts; Pet Lover's Gifts; Pet Supplies; Gifts for Baby; Pet Memorials; Pet Grooming; Gift Baskets & More; Gifts & Hobbies; Gift Cards; Pet Health Supplies; Gifts & Flowers; Spa Gifts; Pet Clean Up; Specialty Gift Cards; Pet Beds,"Gift, Lover, Pet, Recipient, Flowers"
6,"iTunes Gift Cards; Gift Cards; Baby Gifts; Crafts & Sewing; Pet Lover's Gifts; Gifts & Flowers; Gifts and Gift Cards; Spa Gifts; Gifts by Recipient; Arts & Crafts; Crafts; Craft Lover's Gifts; Photo Gifts; Specialty Gift Cards; Pretend Play, Arts & Crafts; Personalized Gifts; Gift Baskets; Gourmet Food & Gift Baskets; Gift Baskets & More; Gifts & Hobbies; Gifts for Baby","Gift, Crafts, Lover"
7,"Wall Art & Coverings; Canvas Wall Art; Arts & Crafts; Art Gallery; Art Supplies; Craft Lover's Gifts; Crafts & Sewing; Pretend Play, Arts & Crafts; Pretend Play & Dress-up; Crafts; Art & School Supplies","Art, Pretend, Crafts, Gallery"
8,"Bouncers & Outdoor Play; Outdoor Play; Indoor Play; Play Yards; Arts & Crafts; Craft Lover's Gifts; Crafts & Sewing; Pretend Play, Arts & Crafts; Pretend Play & Dress-up; Crafts; Outdoor Games & Play","Play, Pretend, Crafts, Yards, Indoor"
9,"Bouncers & Outdoor Play; Outdoor Play; Indoor Play; Play Yards; Pretend Play, Arts & Crafts; Pretend Play & Dress-up; Outdoor Games & Play","Play, Dress, Pretend"
10,"Bouncers & Outdoor Play; Outdoor Play; Wall Art & Coverings; Canvas Wall Art; Art Supplies; Indoor Play; Play Yards; Arts & Crafts; Art & School Supplies; Craft Lover's Gifts; Crafts & Sewing; Pretend Play, Arts & Crafts; Pretend Play & Dress-up; Crafts; Art Gallery; Outdoor Games & Play","Play, Art, Crafts"
11,"Wall Art & Coverings; Canvas Wall Art; Art Supplies; Art Gallery; Arts & Crafts; Pretend Play, Arts & Crafts; Wall Lighting; Art & School Supplies","Wall, Canvas, Art"
12,"Wall Art & Coverings; Canvas Wall Art; Art Supplies; Art Gallery; Arts & Crafts; Pretend Play, Arts & Crafts; Wall Lighting; Art & School Supplies","Wall, Coverings, Art"
